word,freq,colour
robotics,3,no
rotation,3,no
rugged,3,no
rules,3,no
safety,3,no
save,3,no
saving,3,no
schematic,3,no
sealed,3,no
seller,3,no
sensor,3,no
separate,3,no
serious,3,no
settled,3,no
setups,3,no
sheet,3,no
shipped,3,no
sibling,3,no
siblings,3,no
site,3,no
sixth,3,no
slide,3,no
smallest,3,no
snapcircuits,3,no
sold,3,no
soldering,3,no
solo,3,no
song,3,no
stayed,3,no
steps,3,no
story,3,no
study,3,no
supervising,3,no
suppose,3,no
supposed,3,no
surely,3,no
swap,3,no
systems,3,no
talked,3,no
technicians,3,no
television,3,no
tend,3,no
term,3,no
text,3,no
theyll,3,no
thoroughly,3,no
thoughts,3,no
ton,3,no
topic,3,no
touch,3,no
troubleshooting,3,no
uc,3,no
ufo,3,no
view,3,no
vocabulary,3,no
wake,3,no
walk,3,no
watched,3,no
wear,3,no
weekend,3,no
whenever,3,no
whim,3,no
whistle,3,no
winter,3,no
writing,3,no
youngsters,3,no
11yr,2,no
12yr,2,no
18,2,no
202,2,no
20s,2,no
21,2,no
22,2,no
25,2,no
26th,2,no
300r,2,no
3yr,2,no
500r,2,no
56,2,no
60,2,no
600,2,no
62,2,no
7yo,2,no
8230,2,no
8yo,2,no
8yr,2,no
8yrs,2,no
90,2,no
absolute,2,no
accompanies,2,no
accompany,2,no
adapter,2,no
adds,2,no
adept,2,no
admitted,2,no
afterwards,2,no
agree,2,no
allot,2,no
allowed,2,no
america,2,no
among,2,no
amongst,2,no
amused,2,no
analytical,2,no
anymore,2,no
anywhere,2,no
apparently,2,no
appear,2,no
application,2,no
apply,2,no
architecture,2,no
area,2,no
arrows,2,no
arts,2,no
attach,2,no
b,2,no
backwards,2,no
band,2,no
barbie,2,no
beats,2,no
becomes,2,no
becoming,2,no
bedtime,2,no
begged,2,no
begun,2,no
bet,2,no
bill,2,no
blueprints,2,no
boarding,2,no
booster,2,no
bragging,2,no
brainer,2,no
brains,2,no
bratz,2,no
bread,2,no
breakage,2,no
bridge,2,no
briefly,2,no
brightly,2,no
brown,2,no
browsing,2,no
btw,2,no
buff,2,no
bulbs,2,no
burnt,2,no
buzz,2,no
buzzer,2,no
capacitor,2,no
capture,2,no
cases,2,no
cells,2,no
changing,2,no
chanukah,2,no
chemicals,2,no
china,2,no
chip,2,no
circuites,2,no
claiming,2,no
clap,2,no
classmates,2,no
cleanup,2,no
clip,2,no
closely,2,no
closer,2,no
closing,2,no
club,2,no
coding,2,no
compare,2,no
compartment,2,no
comprehension,2,no
conduction,2,no
conductivity,2,no
configure,2,no
consideration,2,no
considered,2,no
contain,2,no
content,2,no
contents,2,no
conversation,2,no
convinced,2,no
coordinates,2,no
copying,2,no
corner,2,no
cover,2,no
covered,2,no
covering,2,no
cross,2,no
curcuits,2,no
d,2,no
daddies,2,no
daddys,2,no
dangers,2,no
daugther,2,no
dec,2,no
declared,2,no
decrease,2,no
deeper,2,no
degree,2,no
delivers,2,no
demonstration,2,no
depending,2,no
describe,2,no
deserves,2,no
designer,2,no
destroying,2,no
develop,2,no
developed,2,no
development,2,no
dexterity,2,no
dining,2,no
directly,2,no
disc,2,no
discipline,2,no
discoveries,2,no
discovering,2,no
distance,2,no
documentation,2,no
donate,2,no
donation,2,no
door,2,no
